Domain	Phylum	Class	Order	Family	Genus	Species
meta_mOTU_v2_6582	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6902	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_6776	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:914
meta_mOTU_v2_6758	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5692	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. CAG:611
meta_mOTU_v2_7613	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:1193
meta_mOTU_v2_7789	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:1193
meta_mOTU_v2_5501	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:594
meta_mOTU_v2_5952	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7272	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5998	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6648	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:762
meta_mOTU_v2_6739	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:762
meta_mOTU_v2_6494	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5802	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_7183	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:302
meta_mOTU_v2_6277	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6848	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5902	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7175	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5912	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5740	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7638	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:433
meta_mOTU_v2_7507	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_6554	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_7502	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6630	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_6439	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_5590	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_5736	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_7155	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_6030	Bacteria	Firmicutes	Clostridia	Clostridiales	unknown Clostridiales	unknown Clostridiales	unknown Clostridiales
meta_mOTU_v2_5546	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6338	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6992	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_5366	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_7118	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:452
meta_mOTU_v2_5336	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_7666	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6172	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_6654	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
